,min,x,y,xG,team,player,result,situation,season,date,match_id,player_assisted,lastAction
0,1,0.8430000305175781,0.2860000038146972,0.0304851997643709,Augsburg,Andi Zeqiri,BlockedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,,None
1,1,0.8130000305175781,0.4479999923706054,0.0372618846595287,Augsburg,Daniel Caligiuri,MissedShots,FromCorner,2021,2021-10-17 15:30:00,17580,,None
2,7,0.945,0.3979999923706054,0.0548703409731388,Augsburg,Tobias Strobl,SavedShot,FromCorner,2021,2021-10-17 15:30:00,17580,Daniel Caligiuri,Cross
3,7,0.825999984741211,0.3509999847412109,0.0426882058382034,Augsburg,Arne Maier,BlockedShot,FromCorner,2021,2021-10-17 15:30:00,17580,,Rebound
4,16,0.799000015258789,0.3309999847412109,0.0451198294758796,Augsburg,Ruben Vargas,MissedShots,OpenPlay,2021,2021-10-17 15:30:00,17580,Mads Pedersen,Pass
5,17,0.86,0.2860000038146972,0.0372595824301242,Augsburg,Daniel Caligiuri,SavedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Andi Zeqiri,Pass
6,18,0.92,0.4640000152587891,0.3135836124420166,Augsburg,Reece Oxford,Goal,FromCorner,2021,2021-10-17 15:30:00,17580,Daniel Caligiuri,Cross
7,26,0.825,0.504000015258789,0.0250565093010664,Augsburg,André Hahn,SavedShot,SetPiece,2021,2021-10-17 15:30:00,17580,Mads Pedersen,Chipped
8,36,0.825,0.2829999923706054,0.0542582236230373,Augsburg,Andi Zeqiri,BlockedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Arne Maier,Pass
9,54,0.750999984741211,0.6179999923706054,0.0252536591142416,Augsburg,Mads Pedersen,MissedShots,OpenPlay,2021,2021-10-17 15:30:00,17580,,None
10,67,0.8980000305175782,0.649000015258789,0.0984806939959526,Augsburg,Arne Maier,SavedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Daniel Caligiuri,Pass
11,80,0.909000015258789,0.2979999923706055,0.0374750308692455,Augsburg,André Hahn,MissedShots,FromCorner,2021,2021-10-17 15:30:00,17580,,None
12,84,0.750999984741211,0.585999984741211,0.0644353628158569,Augsburg,Daniel Caligiuri,SavedShot,DirectFreekick,2021,2021-10-17 15:30:00,17580,,Standard
13,85,0.953000030517578,0.575,0.0493702813982963,Augsburg,Robert Gumny,MissedShots,FromCorner,2021,2021-10-17 15:30:00,17580,Arne Maier,Aerial
14,15,0.6669999694824219,0.6909999847412109,0.0143599268049001,Arminia Bielefeld,Robin Hack,MissedShots,SetPiece,2021,2021-10-17 15:30:00,17580,Jacob Laursen,Pass
15,39,0.755,0.495,0.0220065135508775,Arminia Bielefeld,Manuel Prietl,MissedShots,OpenPlay,2021,2021-10-17 15:30:00,17580,,None
16,44,0.7340000152587891,0.3629999923706055,0.0181564204394817,Arminia Bielefeld,Cédric Brunner,BlockedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Fabian Kunze,Pass
17,44,0.725999984741211,0.6659999847412109,0.0155072240158915,Arminia Bielefeld,Manuel Prietl,MissedShots,OpenPlay,2021,2021-10-17 15:30:00,17580,Fabian Kunze,Pass
18,50,0.705,0.5829999923706055,0.0402837358415126,Arminia Bielefeld,Robin Hack,MissedShots,DirectFreekick,2021,2021-10-17 15:30:00,17580,,Standard
19,58,0.850999984741211,0.3039999961853027,0.0396728552877903,Arminia Bielefeld,Robin Hack,BlockedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Alessandro Schöpf,Pass
20,58,0.9540000152587892,0.38,0.0157802104949951,Arminia Bielefeld,Janni Serra,MissedShots,FromCorner,2021,2021-10-17 15:30:00,17580,,Aerial
21,76,0.7969999694824219,0.5609999847412109,0.0378000922501087,Arminia Bielefeld,Jacob Laursen,Goal,OpenPlay,2021,2021-10-17 15:30:00,17580,,None
22,86,0.8030000305175782,0.4120000076293945,0.0406654104590415,Arminia Bielefeld,Fabian Kunze,MissedShots,OpenPlay,2021,2021-10-17 15:30:00,17580,,None
23,91,0.9109999847412108,0.5640000152587891,0.0416323356330394,Arminia Bielefeld,Fabian Klos,SavedShot,OpenPlay,2021,2021-10-17 15:30:00,17580,Alessandro Schöpf,Aerial
0,17,0.8780000305175781,0.3459999847412109,0.0727885216474533,Arminia Bielefeld,Fabian Klos,SavedShot,OpenPlay,2021,2022-03-04 19:30:00,17734,Patrick Wimmer,Pass
1,38,0.7119999694824218,0.4759999847412109,0.0111849196255207,Arminia Bielefeld,Fabian Kunze,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,,None
2,47,0.7930000305175782,0.6309999847412109,0.0295568984001874,Arminia Bielefeld,Patrick Wimmer,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,Masaya Okugawa,Pass
3,47,0.7480000305175781,0.4,0.0159716214984655,Arminia Bielefeld,Patrick Wimmer,BlockedShot,OpenPlay,2021,2022-03-04 19:30:00,17734,,None
4,62,0.6969999694824218,0.3959999847412109,0.0142480796203017,Arminia Bielefeld,Cédric Brunner,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,Fabian Kunze,Pass
5,7,0.8769999694824219,0.7559999847412109,0.0276604313403368,Augsburg,Ruben Vargas,BlockedShot,OpenPlay,2021,2022-03-04 19:30:00,17734,Jeffrey Gouweleeuw,Chipped
6,34,0.9080000305175782,0.539000015258789,0.1019556820392608,Augsburg,Michael Gregoritsch,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,Iago,Cross
7,45,0.965999984741211,0.585,0.0547501035034656,Augsburg,Michael Gregoritsch,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,,None
8,46,0.7380000305175781,0.5579999923706055,0.0110419169068336,Augsburg,Daniel Caligiuri,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,,Aerial
9,49,0.865999984741211,0.415,0.0582856312394142,Augsburg,Daniel Caligiuri,Goal,OpenPlay,2021,2022-03-04 19:30:00,17734,Iago,Cross
10,58,0.8919999694824219,0.6980000305175781,0.0410366430878639,Augsburg,Ruben Vargas,MissedShots,SetPiece,2021,2022-03-04 19:30:00,17734,,None
11,79,0.674000015258789,0.544000015258789,0.0136759215965867,Augsburg,Carlos Gruezo,MissedShots,OpenPlay,2021,2022-03-04 19:30:00,17734,,BallRecovery
0,8,0.8580000305175781,0.5640000152587891,0.0924836322665214,Arminia Bielefeld,Patrick Wimmer,BlockedShot,OpenPlay,2021,2021-10-03 17:30:00,17571,Alessandro Schöpf,Pass
1,8,0.7969999694824219,0.3709999847412109,0.0330720990896225,Arminia Bielefeld,Fabian Klos,BlockedShot,OpenPlay,2021,2021-10-03 17:30:00,17571,Patrick Wimmer,Pass
2,15,0.899000015258789,0.639000015258789,0.0172069333493709,Arminia Bielefeld,Masaya Okugawa,MissedShots,OpenPlay,2021,2021-10-03 17:30:00,17571,Cédric Brunner,Cross
3,17,0.7069999694824218,0.2520000076293945,0.013239680789411,Arminia Bielefeld,Patrick Wimmer,BlockedShot,OpenPlay,2021,2021-10-03 17:30:00,17571,Masaya Okugawa,Pass
4,22,0.8430000305175781,0.3029999923706055,0.0333409942686557,Arminia Bielefeld,Alessandro Schöpf,MissedShots,OpenPlay,2021,2021-10-03 17:30:00,17571,Robin Hack,BallTouch
