,min,x,y,xG,team,player,result,situation,season,datum,match_id,player_assisted,lastAction
0,16,0.865,0.4640000152587891,0.0311448294669389,Bayer Leverkusen,Sardar Azmoun,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Exequiel Palacios,Cross
1,17,0.774000015258789,0.3509999847412109,0.0230245199054479,Bayer Leverkusen,Exequiel Palacios,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Adam Hlozek,Pass
2,19,0.8230000305175781,0.2810000038146972,0.025899238884449,Bayer Leverkusen,Moussa Diaby,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Exequiel Palacios,Pass
3,28,0.9540000152587892,0.6430000305175781,0.0126121900975704,Bayer Leverkusen,Patrik Schick,MissedShots,FromCorner,2022,2022-08-13 13:30:00,19352,Adam Hlozek,Aerial
4,32,0.7040000152587891,0.754000015258789,0.0118158189579844,Bayer Leverkusen,Mitchel Bakker,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Charles Aránguiz,Pass
5,33,0.895,0.485,0.0716135576367378,Bayer Leverkusen,Sardar Azmoun,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Moussa Diaby,Cross
6,35,0.7880000305175782,0.374000015258789,0.0278546847403049,Bayer Leverkusen,Charles Aránguiz,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Patrik Schick,Pass
7,42,0.8730000305175781,0.3940000152587891,0.0761024802923202,Bayer Leverkusen,Adam Hlozek,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Jeremie Frimpong,Pass
8,42,0.835,0.4159999847412109,0.0523130856454372,Bayer Leverkusen,Charles Aránguiz,Goal,OpenPlay,2022,2022-08-13 13:30:00,19352,,Rebound
9,46,0.685,0.5929999923706055,0.011503460817039,Bayer Leverkusen,Mitchel Bakker,MissedShots,FromCorner,2022,2022-08-13 13:30:00,19352,,Aerial
10,47,0.8419999694824218,0.41,0.0712439343333244,Bayer Leverkusen,Adam Hlozek,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Moussa Diaby,Pass
11,50,0.720999984741211,0.54,0.0494428239762783,Bayer Leverkusen,Patrik Schick,BlockedShot,DirectFreekick,2022,2022-08-13 13:30:00,19352,,Standard
12,50,0.92,0.44,0.3167725503444671,Bayer Leverkusen,Sardar Azmoun,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Edmond Tapsoba,Throughball
13,52,0.9519999694824218,0.349000015258789,0.1041246429085731,Bayer Leverkusen,Jeremie Frimpong,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Moussa Diaby,Pass
14,53,0.855999984741211,0.67,0.04463916644454,Bayer Leverkusen,Adam Hlozek,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Mitchel Bakker,Pass
15,59,0.87,0.419000015258789,0.0943146422505378,Bayer Leverkusen,Moussa Diaby,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Sardar Azmoun,Pass
16,60,0.9440000152587892,0.5179999923706055,0.4443743824958801,Bayer Leverkusen,Sardar Azmoun,SavedShot,FromCorner,2022,2022-08-13 13:30:00,19352,Adam Hlozek,Cross
17,61,0.93,0.5690000152587891,0.0530260130763053,Bayer Leverkusen,Sardar Azmoun,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Moussa Diaby,Aerial
18,68,0.85,0.5270000076293946,0.0961274281144142,Bayer Leverkusen,Sardar Azmoun,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Patrik Schick,Pass
19,70,0.8769999694824219,0.3579999923706055,0.1072734743356704,Bayer Leverkusen,Moussa Diaby,BlockedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Sardar Azmoun,Pass
20,72,0.86,0.4540000152587891,0.2884014248847961,Bayer Leverkusen,Moussa Diaby,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Edmond Tapsoba,Chipped
21,85,0.953000030517578,0.5129999923706055,0.5663926005363464,Bayer Leverkusen,Patrik Schick,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,Kerem Demirbay,Cross
22,89,0.9669999694824218,0.4029999923706054,0.1512650847434997,Bayer Leverkusen,Jonathan Tah,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Kerem Demirbay,Chipped
23,92,0.9159999847412108,0.580999984741211,0.0570022314786911,Bayer Leverkusen,Sardar Azmoun,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Moussa Diaby,Aerial
24,14,0.92,0.5629999923706055,0.5048259496688843,Augsburg,Fredrik Jensen,Goal,OpenPlay,2022,2022-08-13 13:30:00,19352,Ermedin Demirovic,Throughball
25,29,0.840999984741211,0.3679999923706055,0.0710038393735885,Augsburg,Ermedin Demirovic,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,,BallRecovery
26,50,0.8180000305175781,0.7169999694824218,0.0382119081914424,Augsburg,Ermedin Demirovic,SavedShot,OpenPlay,2022,2022-08-13 13:30:00,19352,,TakeOn
27,66,0.7759999847412109,0.494000015258789,0.0323848947882652,Augsburg,Elvis Rexhbecaj,MissedShots,OpenPlay,2022,2022-08-13 13:30:00,19352,Arne Maier,Pass
