,team,match_result,goals,xG,shots,shots_on_Target,actual_Points,xPTS,match_id
0,Borussia M.Gladbach,D,1,1.99,11,4,1,0.81,17516
1,Bayern Munich,D,1,2.92,21,9,1,1.99,17516
0,Arminia Bielefeld,D,0,0.58,10,3,1,0.52,17517
1,Freiburg,D,0,1.64,15,5,1,2.25,17517
0,Augsburg,L,0,0.73,7,0,0,0.09,17518
1,Hoffenheim,W,4,3.44,15,8,3,2.87,17518
0,VfB Stuttgart,W,5,4.26,31,15,3,2.77,17519
1,Greuther Fuerth,L,1,1.31,8,5,0,0.16,17519
0,Union Berlin,D,1,0.44,8,5,1,0.98,17520
1,Bayer Leverkusen,D,1,0.79,16,3,1,1.62,17520
0,Wolfsburg,W,1,2.79,19,8,3,2.85,17521
1,Bochum,L,0,0.30,7,1,0,0.09,17521
0,Borussia Dortmund,W,5,2.84,13,7,3,2.32,17522
1,Eintracht Frankfurt,L,2,1.37,10,3,0,0.51,17522
0,Mainz 05,W,1,1.27,8,2,3,1.84,17523
1,RasenBallsport Leipzig,L,0,0.84,13,2,0,0.85,17523
0,FC Cologne,W,3,1.63,14,5,3,0.95,17524
1,Hertha Berlin,L,1,2.11,10,5,0,1.79,17524
0,RasenBallsport Leipzig,W,4,2.87,27,11,3,2.60,17525
1,VfB Stuttgart,L,0,0.96,11,5,0,0.28,17525
0,Greuther Fuerth,D,1,2.58,20,5,1,2.59,17526
1,Arminia Bielefeld,D,1,0.76,9,2,1,0.28,17526
0,Bochum,W,2,1.05,8,4,3,1.55,17527
1,Mainz 05,L,0,0.82,15,3,0,1.11,17527
0,Hertha Berlin,L,1,1.17,13,5,0,2.00,17528
1,Wolfsburg,W,2,0.56,12,3,3,0.70,17528
0,Freiburg,W,2,1.58,7,4,3,1.44,17529
1,Borussia Dortmund,L,1,1.50,18,4,0,1.28,17529
0,Eintracht Frankfurt,D,0,1.33,21,5,1,2.34,17530
1,Augsburg,D,0,0.17,4,0,1,0.39,17530
0,Bayer Leverkusen,W,4,1.95,12,5,3,1.56,17531
1,Borussia M.Gladbach,L,0,1.66,11,6,0,1.17,17531
0,Hoffenheim,D,2,0.97,7,3,1,0.42,17532
1,Union Berlin,D,2,2.35,12,8,1,2.41,17532
0,Bayern Munich,W,3,3.08,18,6,3,2.67,17533
1,FC Cologne,L,2,0.96,10,3,0,0.22,17533
