,team,match_result,goals,xG,shots,shots on Target,actual Points,xPTS,match_id
0,Eintracht Frankfurt,L,1,0.76,8,2,0,0.03,19342
1,Bayern Munich,W,6,4.56,23,10,3,2.95,19342
0,Union Berlin,W,3,1.18,19,8,3,2.10,19343
1,Hertha Berlin,L,1,0.35,7,3,0,0.61,19343
0,Borussia M.Gladbach,W,3,2.07,18,7,3,2.75,19344
1,Hoffenheim,L,1,0.12,2,1,0,0.14,19344
0,Wolfsburg,D,2,0.95,11,3,1,1.21,19345
1,Werder Bremen,D,2,1.04,10,4,1,1.45,19345
0,Bochum,L,1,0.82,15,3,0,0.75,19346
1,Mainz 05,W,2,1.59,13,6,3,1.99,19346
0,Augsburg,L,0,0.59,11,2,0,0.62,19347
1,Freiburg,W,4,1.54,19,7,3,2.13,19347
0,Borussia Dortmund,W,1,2.38,15,4,3,2.27,19348
1,Bayer Leverkusen,L,0,1.24,8,3,0,0.52,19348
0,VfB Stuttgart,D,1,0.57,11,2,1,0.34,19349
1,RasenBallsport Leipzig,D,1,2.13,27,9,1,2.50,19349
0,FC Cologne,W,3,4.42,32,12,3,2.99,19350
1,Schalke 04,L,1,0.23,5,2,0,0.01,19350
0,Freiburg,L,1,1.08,16,7,0,1.60,19351
1,Borussia Dortmund,W,3,0.78,13,6,3,1.07,19351
0,Bayer Leverkusen,L,1,2.78,24,10,0,2.63,19352
1,Augsburg,W,2,0.75,6,4,3,0.25,19352
0,RasenBallsport Leipzig,D,2,1.18,9,5,1,1.08,19353
1,FC Cologne,D,2,1.52,13,4,1,1.63,19353
0,Werder Bremen,D,2,0.70,5,3,1,0.79,19354
1,VfB Stuttgart,D,2,1.32,14,7,1,1.91,19354
0,Hoffenheim,W,3,2.38,23,12,3,2.04,19355
1,Bochum,L,2,1.47,11,5,0,0.72,19355
0,Hertha Berlin,D,1,2.06,12,5,1,2.02,19356
1,Eintracht Frankfurt,D,1,1.20,11,1,1,0.75,19356
0,Schalke 04,D,2,1.69,12,4,1,1.60,19357
1,Borussia M.Gladbach,D,2,1.41,14,8,1,1.12,19357
0,Mainz 05,D,0,0.65,11,5,1,1.64,19358
1,Union Berlin,D,0,0.30,10,2,1,0.91,19358
0,Bayern Munich,W,2,1.40,24,8,3,2.16,19359
1,Wolfsburg,L,0,0.44,8,2,0,0.58,19359
0,Borussia M.Gladbach,W,1,2.27,11,6,3,2.37,19360
1,Hertha Berlin,L,0,0.97,17,4,0,0.46,19360
0,Wolfsburg,D,0,1.21,18,6,1,1.45,19361
1,Schalke 04,D,0,1.03,10,2,1,1.22,19361
0,Augsburg,L,1,0.31,7,2,0,0.19,19362
1,Mainz 05,W,2,2.05,13,6,3,2.70,19362
